value,segments,language,borrowing_score
destar,"['d', 'e', 's', 't', 'a', 'r']",Indonesian,1.0
jilbab,"['dʒ', 'i', 'l', 'b', 'a', 'b']",Indonesian,1.0
tato,"['t', 'a', 't', 'o']",Indonesian,1.0
sapu tangan,"['s', 'a', 'p', 'u', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
(kain) lap,"['k', 'a', 'i', 'n', '+', 'l', 'a', 'p']",Indonesian,1.0
handuk,"['h', 'a', 'n', 'd', 'u', 'ʔ']",Indonesian,1.0
tuala,"['t', 'u', 'a', 'l', 'a']",Indonesian,1.0
sisir,"['s', 'i', 's', 'i', 'r']",Indonesian,0.0
sikat,"['s', 'i', 'k', 'a', 't']",Indonesian,0.0
képang,"['k', 'é/e', 'p', 'a', 'ŋ']",Indonesian,1.0
pisau cukur,"['p', 'i', 's', 'a', 'u', '+', 'tʃ', 'u', 'k', 'u', 'r']",Indonesian,0.0
silét,"['s', 'i', 'l', 'é/e', 't']",Indonesian,1.0
salep,"['s', 'a', 'l', 'e', 'p']",Indonesian,1.0
sabun,"['s', 'a', 'b', 'u', 'n']",Indonesian,1.0
cermin,"['tʃ', 'e', 'r', 'm', 'i', 'n']",Indonesian,0.25
kaca,"['k', 'a', 'tʃ', 'a']",Indonesian,1.0
tinggal,"['t', 'i', 'ŋ', 'g', 'a', 'l']",Indonesian,0.0
berdiam,"['b', 'e', 'r', 'd', 'i', 'a', 'm']",Indonesian,0.0
rumah,"['r', 'u', 'm', 'a', 'h']",Indonesian,0.0
pondok,"['p', 'o', 'n', 'd', 'o', 'ʔ']",Indonesian,0.75
gubuk,"['g', 'u', 'b', 'u', 'ʔ']",Indonesian,1.0
ténda,"['t', 'é/e', 'n', 'd', 'a']",Indonesian,1.0
kémah,"['k', 'é/e', 'm', 'a', 'h']",Indonesian,1.0
halaman,"['h', 'a', 'l', 'a', 'm', 'a', 'n']",Indonesian,0.0
dapur,"['d', 'a', 'p', 'u', 'r']",Indonesian,0.0
balai,"['b', 'a', 'l', 'aɪ']",Indonesian,0.0
kamar,"['k', 'a', 'm', 'a', 'r']",Indonesian,1.0
bilik,"['b', 'i', 'l', 'i', 'ʔ']",Indonesian,0.0
"ruang, ruangan","['r', 'u', 'a', 'ŋ']",Indonesian,0.0
pintu,"['p', 'i', 'n', 't', 'u']",Indonesian,0.0
(pintu) gerbang,"['p', 'i', 'n', 't', 'u', '+', 'g', 'e', 'r', 'b', 'a', 'ŋ']",Indonesian,0.0
gapura,"['g', 'a', 'p', 'u', 'r', 'a']",Indonesian,1.0
tiang pintu,"['t', 'i', 'a', 'ŋ', '+', 'p', 'i', 'n', 't', 'u']",Indonesian,0.0
kunci,"['k', 'u', 'ɲ', 'i']",Indonesian,1.0
selot,"['s', 'e', 'l', 'o', 't']",Indonesian,1.0
palang pintu,"['p', 'a', 'l', 'a', 'ŋ', '+', 'p', 'i', 'n', 't', 'u']",Indonesian,0.0
gréndél,"['g', 'r', 'é/e', 'n', 'd', 'é/e', 'l']",Indonesian,1.0
selot,"['s', 'e', 'l', 'o', 't']",Indonesian,1.0
(anak) kunci,"['a', 'n', 'a', 'k', '+', 'k', 'u', 'ɲ', 'i']",Indonesian,0.0
jendéla,"['dʒ', 'e', 'n', 'd', 'é/e', 'l', 'a']",Indonesian,1.0
lantai,"['l', 'a', 'n', 't', 'aɪ']",Indonesian,0.0
dinding,"['d', 'i', 'n', 'd', 'i', 'ŋ']",Indonesian,0.0
témbok,"['t', 'é/e', 'm', 'b', 'o', 'ʔ']",Indonesian,0.75
perapian,"['p', 'e', 'r', 'a', 'p', 'i', 'a', 'n']",Indonesian,0.0
kompor,"['k', 'o', 'm', 'p', 'o', 'r']",Indonesian,1.0
cerobong (asap),"['tʃ', 'e', 'r', 'o', 'b', 'o', 'ŋ', '+', 'a', 's', 'a', 'p']",Indonesian,1.0
tempat tidur,"['t', 'e', 'm', 'p', 'a', 't', '+', 't', 'i', 'd', 'u', 'r']",Indonesian,0.0
ranjang,"['r', 'a', 'ɲ', 'a', 'ŋ']",Indonesian,0.25
bantal,"['b', 'a', 'n', 't', 'a', 'l']",Indonesian,0.0
selimut,"['s', 'e', 'l', 'i', 'm', 'u', 't']",Indonesian,0.0
kursi,"['k', 'u', 'r', 's', 'i']",Indonesian,1.0
méja,"['m', 'é/e', 'dʒ', 'a']",Indonesian,1.0
lampu,"['l', 'a', 'm', 'p', 'u']",Indonesian,1.0
obor,"['o', 'b', 'o', 'r']",Indonesian,1.0
suluh,"['s', 'u', 'l', 'u', 'h']",Indonesian,0.0
dian,"['d', 'i', 'a', 'n']",Indonesian,1.0
lilin,"['l', 'i', 'l', 'i', 'n']",Indonesian,0.0
rak,"['r', 'a', 'ʔ']",Indonesian,1.0
palung,"['p', 'a', 'l', 'u', 'ŋ']",Indonesian,0.0
atap,"['a', 't', 'a', 'p']",Indonesian,0.0
ijuk,"['i', 'dʒ', 'u', 'ʔ']",Indonesian,0.0
bubungan,"['b', 'u', 'b', 'u', 'ŋ', 'a', 'n']",Indonesian,0.0
kasau,"['k', 'a', 's', 'aʊ']",Indonesian,0.0
balok,"['b', 'a', 'l', 'o', 'ʔ']",Indonesian,1.0
tiang,"['t', 'i', 'a', 'ŋ']",Indonesian,0.0
papan,"['p', 'a', 'p', 'a', 'n']",Indonesian,0.0
lengkung,"['l', 'e', 'ŋ', 'k', 'u', 'ŋ']",Indonesian,0.0
tukang batu,"['t', 'u', 'k', 'a', 'ŋ', '+', 'b', 'a', 't', 'u']",Indonesian,0.0
batu bata,"['b', 'a', 't', 'u', '+', 'b', 'a', 't', 'a']",Indonesian,0.0
semén,"['s', 'e', 'm', 'é/e', 'n']",Indonesian,1.0
lépa,"['l', 'é/e', 'p', 'a']",Indonesian,1.0
petani,"['p', 'e', 't', 'a', 'n', 'i']",Indonesian,0.0
ladang,"['l', 'a', 'd', 'a', 'ŋ']",Indonesian,0.0
"kebun, kebon","['k', 'e', 'b', 'u', 'n']",Indonesian,0.0
taman,"['t', 'a', 'm', 'a', 'n']",Indonesian,0.5
menggarap,"['m', 'e', 'ŋ', 'g', 'a', 'r', 'a', 'p']",Indonesian,1.0
pagar,"['p', 'a', 'g', 'a', 'r']",Indonesian,0.0
parit,"['p', 'a', 'r', 'i', 't']",Indonesian,0.0
got,"['g', 'o', 't']",Indonesian,1.0
bandar,"['b', 'a', 'n', 'd', 'a', 'r']",Indonesian,1.0
membajak,"['m', 'e', 'm', 'b', 'a', 'dʒ', 'a', 'ʔ']",Indonesian,0.0
menenggala,"['m', 'e', 'n', 'e', 'ŋ', 'g', 'a', 'l', 'a']",Indonesian,1.0
alur,"['a', 'l', 'u', 'r']",Indonesian,0.0
menggali,"['m', 'e', 'ŋ', 'g', 'a', 'l', 'i']",Indonesian,0.0
pacul,"['p', 'a', 'tʃ', 'u', 'l']",Indonesian,1.0
sekop,"['s', 'e', 'k', 'o', 'p']",Indonesian,1.0
cangkul,"['tʃ', 'a', 'ŋ', 'k', 'u', 'l']",Indonesian,0.0
garpu,"['g', 'a', 'r', 'p', 'u']",Indonesian,1.0
penggaruk,"['p', 'e', 'ŋ', 'g', 'a', 'r', 'u', 'ʔ']",Indonesian,0.0
menabur,"['m', 'e', 'n', 'a', 'b', 'u', 'r']",Indonesian,0.0
benih,"['b', 'e', 'n', 'i', 'h']",Indonesian,0.0
biji,"['b', 'i', 'dʒ', 'i']",Indonesian,1.0
membabat,"['m', 'e', 'm', 'b', 'a', 'b', 'a', 't']",Indonesian,1.0
menebas,"['m', 'e', 'n', 'e', 'b', 'a', 's']",Indonesian,0.0
arit,"['a', 'r', 'i', 't']",Indonesian,1.0
sabit,"['s', 'a', 'b', 'i', 't']",Indonesian,0.0
"celurit, clurit","['tʃ', 'e', 'l', 'u', 'r', 'i', 't']",Indonesian,1.0
menebahkan,"['m', 'e', 'n', 'e', 'b', 'a', 'h', 'k', 'a', 'n']",Indonesian,0.0
menumbuk,"['m', 'e', 'n', 'u', 'm', 'b', 'u', 'ʔ']",Indonesian,0.0
panén,"['p', 'a', 'n', 'é/e', 'n']",Indonesian,1.0
butir,"['b', 'u', 't', 'i', 'r']",Indonesian,0.0
biji,"['b', 'i', 'dʒ', 'i']",Indonesian,1.0
terigu,"['t', 'e', 'r', 'i', 'g', 'u']",Indonesian,1.0
gandum,"['g', 'a', 'n', 'd', 'u', 'm']",Indonesian,1.0
havermut,"['h', 'a', 'v', 'e', 'r', 'm', 'u', 't']",Indonesian,1.0
jagung,"['dʒ', 'a', 'g', 'u', 'ŋ']",Indonesian,1.0
nasi,"['n', 'a', 's', 'i']",Indonesian,0.0
beras,"['b', 'e', 'r', 'a', 's']",Indonesian,0.0
padi,"['p', 'a', 'd', 'i']",Indonesian,0.0
rumput,"['r', 'u', 'm', 'p', 'u', 't']",Indonesian,0.0
jerami,"['dʒ', 'e', 'r', 'a', 'm', 'i']",Indonesian,0.0
tanaman,"['t', 'a', 'n', 'a', 'm', 'a', 'n']",Indonesian,0.0
tumbuhan,"['t', 'u', 'm', 'b', 'u', 'h', 'a', 'n']",Indonesian,0.0
pohon,"['p', 'o', 'h', 'o', 'n']",Indonesian,0.0
menanam,"['m', 'e', 'n', 'a', 'n', 'a', 'm']",Indonesian,0.0
akar,"['a', 'k', 'a', 'r']",Indonesian,0.0
cabang,"['tʃ', 'a', 'b', 'a', 'ŋ']",Indonesian,0.0
dahan,"['d', 'a', 'h', 'a', 'n']",Indonesian,0.0
ranting,"['r', 'a', 'n', 't', 'i', 'ŋ']",Indonesian,0.0
daun,"['d', 'a', 'u', 'n']",Indonesian,0.0
bunga,"['b', 'u', 'ŋ', 'a']",Indonesian,0.0
kembang,"['k', 'e', 'm', 'b', 'a', 'ŋ']",Indonesian,1.0
pohon,"['p', 'o', 'h', 'o', 'n']",Indonesian,0.0
pinus,"['p', 'i', 'n', 'u', 's']",Indonesian,1.0
cemara,"['tʃ', 'e', 'm', 'a', 'r', 'a']",Indonesian,1.0
tanaman merambat,"['t', 'a', 'n', 'a', 'm', 'a', 'n', '+', 'm', 'e', 'r', 'a', 'm', 'b', 'a', 't']",Indonesian,0.0
tembakau,"['t', 'e', 'm', 'b', 'a', 'k', 'aʊ']",Indonesian,1.0
merokok,"['m', 'e', 'r', 'o', 'k', 'o', 'ʔ']",Indonesian,1.0
pipa,"['p', 'i', 'p', 'a']",Indonesian,1.0
cangklong,"['tʃ', 'a', 'ŋ', 'k', 'l', 'o', 'ŋ']",Indonesian,1.0
tunggul,"['t', 'u', 'ŋ', 'g', 'u', 'l']",Indonesian,0.0
pokok (kayu),"['p', 'o', 'k', 'o', 'k', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0
batang,"['b', 'a', 't', 'a', 'ŋ']",Indonesian,0.0
cabang,"['tʃ', 'a', 'b', 'a', 'ŋ']",Indonesian,0.0
kulit kayu,"['k', 'u', 'l', 'i', 't', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0
getah,"['g', 'e', 't', 'a', 'h']",Indonesian,0.0
palem,"['p', 'a', 'l', 'e', 'm']",Indonesian,1.0
kelapa,"['k', 'e', 'l', 'a', 'p', 'a']",Indonesian,0.75
nyiur,"['ɲ', 'i', 'u', 'r']",Indonesian,0.0
jeruk,"['dʒ', 'e', 'r', 'u', 'ʔ']",Indonesian,0.75
pisang,"['p', 'i', 's', 'a', 'ŋ']",Indonesian,0.0
beringin,"['b', 'e', 'r', 'i', 'ŋ', 'i', 'n']",Indonesian,0.0
ubi jalar,"['u', 'b', 'i', '+', 'dʒ', 'a', 'l', 'a', 'r']",Indonesian,0.0
ubi madu,"['u', 'b', 'i', '+', 'm', 'a', 'd', 'u']",Indonesian,0.0
singkong,"['s', 'i', 'ŋ', 'k', 'o', 'ŋ']",Indonesian,1.0
ubi kayu,"['u', 'b', 'i', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0
labu,"['l', 'a', 'b', 'u']",Indonesian,0.75
labu,"['l', 'a', 'b', 'u']",Indonesian,0.75
bambu,"['b', 'a', 'm', 'b', 'u']",Indonesian,0.5
tebu,"['t', 'e', 'b', 'u']",Indonesian,0.0
tuba,"['t', 'u', 'b', 'a']",Indonesian,0.0
jelatang,"['dʒ', 'e', 'l', 'a', 't', 'a', 'ŋ']",Indonesian,0.0
jamur,"['dʒ', 'a', 'm', 'u', 'r']",Indonesian,1.0
melakukan,"['m', 'e', 'l', 'a', 'k', 'u', 'k', 'a', 'n']",Indonesian,0.0
kerja,"['k', 'e', 'r', 'dʒ', 'a']",Indonesian,1.0
pekerjaan,"['p', 'e', 'k', 'e', 'r', 'dʒ', 'aː', 'n']",Indonesian,0.0
menekukkan,"['m', 'e', 'n', 'e', 'k', 'u', 'k', 'k', 'a', 'n']",Indonesian,0.0
membéngkokkan,"['m', 'e', 'm', 'b', 'é/e', 'ŋ', 'k', 'o', 'k', 'k', 'a', 'n']",Indonesian,0.0
melipat,"['m', 'e', 'l', 'i', 'p', 'a', 't']",Indonesian,0.0
mengikat,"['m', 'e', 'ŋ', 'i', 'k', 'a', 't']",Indonesian,0.0
menguraikan,"['m', 'e', 'ŋ', 'u', 'r', 'a', 'i', 'k', 'a', 'n']",Indonesian,0.0
rantai,"['r', 'a', 'n', 't', 'aɪ']",Indonesian,0.0
tali,"['t', 'a', 'l', 'i']",Indonesian,0.0
ikatan,"['i', 'k', 'a', 't', 'a', 'n']",Indonesian,0.0
simpul,"['s', 'i', 'm', 'p', 'u', 'l']",Indonesian,0.0
memukul,"['m', 'e', 'm', 'u', 'k', 'u', 'l']",Indonesian,0.0
menggebrak,"['m', 'e', 'ŋ', 'g', 'e', 'b', 'r', 'a', 'ʔ']",Indonesian,1.0
menghantam,"['m', 'e', 'ŋ', 'h', 'a', 'n', 't', 'a', 'm']",Indonesian,0.0
memotong,"['m', 'e', 'm', 'o', 't', 'o', 'ŋ']",Indonesian,0.0
menebang,"['m', 'e', 'n', 'e', 'b', 'a', 'ŋ']",Indonesian,0.0
membelah,"['m', 'e', 'm', 'b', 'e', 'l', 'a', 'h']",Indonesian,0.0
mencincang,"['m', 'e', 'ɲ', 'i', 'ɲ', 'a', 'ŋ']",Indonesian,0.0
menusuk,"['m', 'e', 'n', 'u', 's', 'u', 'ʔ']",Indonesian,0.0
menikam,"['m', 'e', 'n', 'i', 'k', 'a', 'm']",Indonesian,0.0
pisau,"['p', 'i', 's', 'aʊ']",Indonesian,0.0
gunting,"['g', 'u', 'n', 't', 'i', 'ŋ']",Indonesian,0.0
kapak,"['k', 'a', 'p', 'a', 'ʔ']",Indonesian,0.0
beliung,"['b', 'e', 'l', 'i', 'u', 'ŋ']",Indonesian,0.0
memecahkan,"['m', 'e', 'm', 'e', 'tʃ', 'a', 'h', 'k', 'a', 'n']",Indonesian,0.0
rusak,"['r', 'u', 's', 'a', 'ʔ']",Indonesian,0.5
membelah,"['m', 'e', 'm', 'b', 'e', 'l', 'a', 'h']",Indonesian,0.0
menyobék,"['m', 'e', 'ɲ', 'o', 'b', 'é/e', 'ʔ']",Indonesian,0.0
merobék,"['m', 'e', 'r', 'o', 'b', 'é/e', 'ʔ']",Indonesian,0.0
patung,"['p', 'a', 't', 'u', 'ŋ']",Indonesian,0.0
menguliti,"['m', 'e', 'ŋ', 'u', 'l', 'i', 't', 'i']",Indonesian,0.0
menggosok,"['m', 'e', 'ŋ', 'g', 'o', 's', 'o', 'ʔ']",Indonesian,0.0
menggésék,"['m', 'e', 'ŋ', 'g', 'é/e', 's', 'é/e', 'ʔ']",Indonesian,0.0
merentangkan,"['m', 'e', 'r', 'e', 'n', 't', 'a', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0
merenggangkan,"['m', 'e', 'r', 'e', 'ŋ', 'g', 'a', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0
menarik,"['m', 'e', 'n', 'a', 'r', 'i', 'ʔ']",Indonesian,0.0
menggelar,"['m', 'e', 'ŋ', 'g', 'e', 'l', 'a', 'r']",Indonesian,0.0
menggantung,"['m', 'e', 'ŋ', 'g', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0
menekan,"['m', 'e', 'n', 'e', 'k', 'a', 'n']",Indonesian,0.0
memencét,"['m', 'e', 'm', 'e', 'ɲ', 'é/e', 't']",Indonesian,1.0
memeras,"['m', 'e', 'm', 'e', 'r', 'a', 's']",Indonesian,0.0
memerah,"['m', 'e', 'm', 'e', 'r', 'a', 'h']",Indonesian,0.0
menuang,"['m', 'e', 'n', 'u', 'a', 'ŋ']",Indonesian,0.0
mencuci,"['m', 'e', 'ɲ', 'u', 'tʃ', 'i']",Indonesian,0.75
membasuh,"['m', 'e', 'm', 'b', 'a', 's', 'u', 'h']",Indonesian,0.0
menyapu,"['m', 'e', 'ɲ', 'a', 'p', 'u']",Indonesian,0.0
sapu,"['s', 'a', 'p', 'u']",Indonesian,0.0
alat,"['a', 'l', 'a', 't']",Indonesian,1.0
tukang kayu,"['t', 'u', 'k', 'a', 'ŋ', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0
membangun,"['m', 'e', 'm', 'b', 'a', 'ŋ', 'u', 'n']",Indonesian,0.0
mengebor,"['m', 'e', 'ŋ', 'e', 'b', 'o', 'r']",Indonesian,1.0
melubangi,"['m', 'e', 'l', 'u', 'b', 'a', 'ŋ', 'i']",Indonesian,0.0
melubangi,"['m', 'e', 'l', 'u', 'b', 'a', 'ŋ', 'i']",Indonesian,0.0
gergaji,"['g', 'e', 'r', 'g', 'a', 'dʒ', 'i']",Indonesian,0.5
palu,"['p', 'a', 'l', 'u']",Indonesian,0.0
paku,"['p', 'a', 'k', 'u']",Indonesian,0.0
lém,"['l', 'é/e', 'm']",Indonesian,1.0
tukang besi,"['t', 'u', 'k', 'a', 'ŋ', '+', 'b', 'e', 's', 'i']",Indonesian,0.0
menempa,"['m', 'e', 'n', 'e', 'm', 'p', 'a']",Indonesian,0.0
paron,"['p', 'a', 'r', 'o', 'n']",Indonesian,1.0
landasan,"['l', 'a', 'n', 'd', 'a', 's', 'a', 'n']",Indonesian,0.0
mencétak,"['m', 'e', 'ɲ', 'é/e', 't', 'a', 'ʔ']",Indonesian,0.0
mengacu,"['m', 'e', 'ŋ', 'a', 'tʃ', 'u']",Indonesian,1.0
mengecor,"['m', 'e', 'ŋ', 'e', 'tʃ', 'o', 'r']",Indonesian,1.0
"mas, emas","['m', 'a', 's']",Indonesian,1.0
kencana,"['k', 'e', 'ɲ', 'a', 'n', 'a']",Indonesian,1.0
pérak,"['p', 'é/e', 'r', 'a', 'ʔ']",Indonesian,0.0
tembaga,"['t', 'e', 'm', 'b', 'a', 'g', 'a']",Indonesian,1.0
besi,"['b', 'e', 's', 'i']",Indonesian,0.0
timbal,"['t', 'i', 'm', 'b', 'a', 'l']",Indonesian,1.0
timah,"['t', 'i', 'm', 'a', 'h']",Indonesian,0.0
tukang tembikar,"['t', 'u', 'k', 'a', 'ŋ', '+', 't', 'e', 'm', 'b', 'i', 'k', 'a', 'r']",Indonesian,0.0
membentuk,"['m', 'e', 'm', 'b', 'e', 'n', 't', 'u', 'ʔ']",Indonesian,0.0
tanah liat,"['t', 'a', 'n', 'a', 'h', '+', 'l', 'i', 'a', 't']",Indonesian,0.0
kaca,"['k', 'a', 'tʃ', 'a']",Indonesian,1.0
menganyam,"['m', 'e', 'ŋ', 'a', 'ɲ', 'a', 'm']",Indonesian,0.0
mengépang,"['m', 'e', 'ŋ', 'é/e', 'p', 'a', 'ŋ']",Indonesian,1.0
meramin,"['m', 'e', 'r', 'a', 'm', 'i', 'n']",Indonesian,0.0
keranjang,"['k', 'e', 'r', 'a', 'ɲ', 'a', 'ŋ']",Indonesian,0.25
bakul,"['b', 'a', 'k', 'u', 'l']",Indonesian,0.0
tikar,"['t', 'i', 'k', 'a', 'r']",Indonesian,0.0
permadani,"['p', 'e', 'r', 'm', 'a', 'd', 'a', 'n', 'i']",Indonesian,1.0
karpet,"['k', 'a', 'r', 'p', 'e', 't']",Indonesian,1.0
"sejedah, sajadah","['s', 'e', 'dʒ', 'e', 'd', 'a', 'h']",Indonesian,1.0
nokén,"['n', 'o', 'k', 'é/e', 'n']",Indonesian,1.0
kipas,"['k', 'i', 'p', 'a', 's']",Indonesian,0.0
mengipasi,"['m', 'e', 'ŋ', 'i', 'p', 'a', 's', 'i']",Indonesian,0.0
mengukir,"['m', 'e', 'ŋ', 'u', 'k', 'i', 'r']",Indonesian,0.0
tukang patung,"['t', 'u', 'k', 'a', 'ŋ', '+', 'p', 'a', 't', 'u', 'ŋ']",Indonesian,0.0
pahat,"['p', 'a', 'h', 'a', 't']",Indonesian,0.0
cat,"['tʃ', 'a', 't']",Indonesian,1.0
mengecat,"['m', 'e', 'ŋ', 'e', 'tʃ', 'a', 't']",Indonesian,1.0
memindahkan,"['m', 'e', 'm', 'i', 'n', 'd', 'a', 'h', 'k', 'a', 'n']",Indonesian,0.0
membalikkan,"['m', 'e', 'm', 'b', 'a', 'l', 'i', 'k', 'k', 'a', 'n']",Indonesian,0.0
membélokkan,"['m', 'e', 'm', 'b', 'é/e', 'l', 'o', 'k', 'k', 'a', 'n']",Indonesian,0.0
memutar,"['m', 'e', 'm', 'u', 't', 'a', 'r']",Indonesian,0.0
berpaling,"['b', 'e', 'r', 'p', 'a', 'l', 'i', 'ŋ']",Indonesian,0.0
putar balik,"['p', 'u', 't', 'a', 'r', '+', 'b', 'a', 'l', 'i', 'ʔ']",Indonesian,0.0
membungkus,"['m', 'e', 'm', 'b', 'u', 'ŋ', 'k', 'u', 's']",Indonesian,0.0
meggulingkan,"['m', 'e', 'g', 'g', 'u', 'l', 'i', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0
menjatuhkan,"['m', 'e', 'ɲ', 'a', 't', 'u', 'h', 'k', 'a', 'n']",Indonesian,0.0
mencemplungkan,"['m', 'e', 'ɲ', 'e', 'm', 'p', 'l', 'u', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0
menceburkan,"['m', 'e', 'ɲ', 'e', 'b', 'u', 'r', 'k', 'a', 'n']",Indonesian,0.0
melilitkan,"['m', 'e', 'l', 'i', 'l', 'i', 't', 'k', 'a', 'n']",Indonesian,0.0
bangkit,"['b', 'a', 'ŋ', 'k', 'i', 't']",Indonesian,0.0
bangun,"['b', 'a', 'ŋ', 'u', 'n']",Indonesian,0.0
naik,"['n', 'a', 'i', 'ʔ']",Indonesian,0.0
menanjak,"['m', 'e', 'n', 'a', 'ɲ', 'a', 'ʔ']",Indonesian,0.0
terbit,"['t', 'e', 'r', 'b', 'i', 't']",Indonesian,0.0
mengangkat,"['m', 'e', 'ŋ', 'a', 'ŋ', 'k', 'a', 't']",Indonesian,0.0
jatuh,"['dʒ', 'a', 't', 'u', 'h']",Indonesian,0.0
gugur,"['g', 'u', 'g', 'u', 'r']",Indonesian,0.0
menétés,"['m', 'e', 'n', 'é/e', 't', 'é/e', 's']",Indonesian,0.75
melémparkan,"['m', 'e', 'l', 'é/e', 'm', 'p', 'a', 'r', 'k', 'a', 'n']",Indonesian,0.0
menangkap,"['m', 'e', 'n', 'a', 'ŋ', 'k', 'a', 'p']",Indonesian,0.0
mengocok,"['m', 'e', 'ŋ', 'o', 'tʃ', 'o', 'ʔ']",Indonesian,0.75
"menggoncang(kan), mengguncang(kan)","['m', 'e', 'ŋ', 'g', 'o', 'ɲ', 'a', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0
mengalir,"['m', 'e', 'ŋ', 'a', 'l', 'i', 'r']",Indonesian,0.0
tenggelam,"['t', 'e', 'ŋ', 'g', 'e', 'l', 'a', 'm']",Indonesian,0.0
terbenam,"['t', 'e', 'r', 'b', 'e', 'n', 'a', 'm']",Indonesian,0.0
mengapung,"['m', 'e', 'ŋ', 'a', 'p', 'u', 'ŋ']",Indonesian,0.0
mengambang,"['m', 'e', 'ŋ', 'a', 'm', 'b', 'a', 'ŋ']",Indonesian,0.0
berenang,"['b', 'e', 'r', 'e', 'n', 'a', 'ŋ']",Indonesian,0.0
menyelam,"['m', 'e', 'ɲ', 'e', 'l', 'a', 'm']",Indonesian,0.0
menyemprot,"['m', 'e', 'ɲ', 'e', 'm', 'p', 'r', 'o', 't']",Indonesian,1.0
memercikkan,"['m', 'e', 'm', 'e', 'r', 'tʃ', 'i', 'k', 'k', 'a', 'n']",Indonesian,0.0
menyiram,"['m', 'e', 'ɲ', 'i', 'r', 'a', 'm']",Indonesian,0.0
mengguyur,"['m', 'e', 'ŋ', 'g', 'u', 'j', 'u', 'r']",Indonesian,1.0
berlayar,"['b', 'e', 'r', 'l', 'a', 'j', 'a', 'r']",Indonesian,0.0
terbang,"['t', 'e', 'r', 'b', 'a', 'ŋ']",Indonesian,0.0
bertiup,"['b', 'e', 'r', 't', 'i', 'u', 'p']",Indonesian,0.0
merangkak,"['m', 'e', 'r', 'a', 'ŋ', 'k', 'a', 'ʔ']",Indonesian,0.0
merayap,"['m', 'e', 'r', 'a', 'j', 'a', 'p']",Indonesian,0.0
berlutut,"['b', 'e', 'r', 'l', 'u', 't', 'u', 't']",Indonesian,0.0
jongkok,"['dʒ', 'o', 'ŋ', 'k', 'o', 'ʔ']",Indonesian,1.0
tergelincir,"['t', 'e', 'r', 'g', 'e', 'l', 'i', 'ɲ', 'i', 'r']",Indonesian,0.0
terpelését,"['t', 'e', 'r', 'p', 'e', 'l', 'é/e', 's', 'é/e', 't']",Indonesian,1.0
terselip,"['t', 'e', 'r', 's', 'e', 'l', 'i', 'p']",Indonesian,0.0
luncur,"['l', 'u', 'ɲ', 'u', 'r']",Indonesian,0.0
meloncat,"['m', 'e', 'l', 'o', 'ɲ', 'a', 't']",Indonesian,0.0
melompat,"['m', 'e', 'l', 'o', 'm', 'p', 'a', 't']",Indonesian,0.0
menendang,"['m', 'e', 'n', 'e', 'n', 'd', 'a', 'ŋ']",Indonesian,0.0
menyépak,"['m', 'e', 'ɲ', 'é/e', 'p', 'a', 'ʔ']",Indonesian,0.0
menari,"['m', 'e', 'n', 'a', 'r', 'i']",Indonesian,0.0
berdansa,"['b', 'e', 'r', 'd', 'a', 'n', 's', 'a']",Indonesian,1.0
berjogét,"['b', 'e', 'r', 'dʒ', 'o', 'g', 'é/e', 't']",Indonesian,0.75
berjalan,"['b', 'e', 'r', 'dʒ', 'a', 'l', 'a', 'n']",Indonesian,0.0
pincang,"['p', 'i', 'ɲ', 'a', 'ŋ']",Indonesian,0.0
"lari, berlari","['l', 'a', 'r', 'i']",Indonesian,0.0
pergi,"['p', 'e', 'r', 'g', 'i']",Indonesian,0.0
naik,"['n', 'a', 'i', 'ʔ']",Indonesian,0.0
memanjat,"['m', 'e', 'm', 'a', 'ɲ', 'a', 't']",Indonesian,0.0
turun,"['t', 'u', 'r', 'u', 'n']",Indonesian,0.0
keluar,"['k', 'e', 'l', 'u', 'a', 'r']",Indonesian,0.0
datang,"['d', 'a', 't', 'a', 'ŋ']",Indonesian,0.0
kembali,"['k', 'e', 'm', 'b', 'a', 'l', 'i']",Indonesian,0.25
balik,"['b', 'a', 'l', 'i', 'ʔ']",Indonesian,0.0
berangkat,"['b', 'e', 'r', 'a', 'ŋ', 'k', 'a', 't']",Indonesian,0.0
menghilang,"['m', 'e', 'ŋ', 'h', 'i', 'l', 'a', 'ŋ']",Indonesian,0.0
lenyap,"['l', 'e', 'ɲ', 'a', 'p']",Indonesian,0.0
raib,"['r', 'a', 'i', 'b']",Indonesian,1.0
melarikan diri,"['m', 'e', 'l', 'a', 'r', 'i', 'k', 'a', 'n', '+', 'd', 'i', 'r', 'i']",Indonesian,0.0
mengungsi,"['m', 'e', 'ŋ', 'u', 'ŋ', 's', 'i']",Indonesian,1.0
kabur (2),"['k', 'a', 'b', 'u', 'r']",Indonesian,1.0
